"The following list of gene / proteins and technologies can be used as a reference for what current cell-based meat companies have discussed in patents / patent applications. It should not be used to understand where companies have protectability. For that, consult an IP lawyer.

""Experimentally validated"" means that the company describes an experiment involving the gene / protein in question. 

Cell Type, How Used, Product Application, and Species are noted if:
1) The technology described in the patent or patent application is targeted at a specific use case,
2) The experiments described specify any of these data
Keep in mind that often the IP attempts to cover use cases much broader than what is described in the experiments.",,,,,,,,,
"This community resource is being kept up to date (last update 09/02/19). For suggestions, additions, or corrections, contact robert.e.yaman@gmail.com",,,,,,,,,
Gene / Protein Name,Patent / Application,Company,Function,Experimentally validated?,Cell Type (if specified),How Used (if specified),Product Application (if specified),Species (if specified),Notes
MyoD1,WO2018011805A9,Future Meat,Myogenesis,YES,Spontaneously Immortalized Fibroblast,,,,"Dox-inducible. In Google patents, notated as ""myoDl"". Sequence here: https://patentscope.wipo.int/search/docs2/pct/WO2018011805/file/WgrRpwlpTJzsJvmC38gBRNjiGwEAW4KkwOAUWzxJ38hazEYk4XeiGo5aQPB6YHptlSn6cXE7Ox-bao5QpVoVtZxrdktzAEWPYQKNj-0KnF1KFrinnRA-g4z_puq632maWWgIA28R7UMhJc81pxdg4Q-GfhhLyTPPoNryRPfRf5U?docId=id00000040900805&psAuth=74OixcPs-tXHCdY4kFhTL0wmgIXaa3rgI3librw1Xf8"
Myogenin,WO2018011805A9,Future Meat,Myogenesis,YES,Spontaneously Immortalized Fibroblast,,,,Sequence here: https://patentscope.wipo.int/search/docs2/pct/WO2018011805/file/WgrRpwlpTJzsJvmC38gBRNjiGwEAW4KkwOAUWzxJ38hazEYk4XeiGo5aQPB6YHptlSn6cXE7Ox-bao5QpVoVtZxrdktzAEWPYQKNj-0KnF1KFrinnRA-g4z_puq632maWWgIA28R7UMhJc81pxdg4Q-GfhhLyTPPoNryRPfRf5U?docId=id00000040900805&psAuth=74OixcPs-tXHCdY4kFhTL0wmgIXaa3rgI3librw1Xf8
HPVE6/E7LOW,WO2018011805A9,Future Meat,Immortalization,NO,,,,,
Telomerase,WO2018011805A9,Future Meat,Immortalization,NO,,,,,
SV40,WO2018011805A9,Future Meat,Immortalization,NO,,,,,Virus
PPARy,WO2018011805A9,Future Meat,Adipogenesis,YES,Spontaneously Immortalized Fibroblast,Ectopically expressed then activated via small molecule,,,"Example 8 includes Dox-inducible vector. PPARg is a transcription factor that can influence genes related to adipogenesis (e.g., ADIPOQ, LPL, NR1H3, and UCP1); genes related to fatty Acid Metabolism (e.g., ACADL, AC ADM, ACOX1, ACOX3, ACSL1, ACSL3, ACSL4, ACSL5, CPT1A, CPT1B, CPT2, CYP27A1, CYP4A11, CYP7A1, EHHADH, FADS2, GK, and SCD); genes related to lipid transport (e.g., ADIPOQ, ANGPTL4, APOE, DGAT1, LPL, NR1H3, and OLR1); genes related to cell proliferation (e.g., CLU, ELN, HSPD1, and TXNIP); genes related to insulin signaling (e.g., CPT1A, DGAT1, PCK1, and SORBS 1) and other genes such as MMP9 and PCK1."
MYOD1,US20160227830A1,Memphis Meats,Myogenesis,YES,Porcine iPSC (O2K),Fused with ESR1 ligand binding domain for E2 induction,,,
MYOG,US20160227830A1,Memphis Meats,Myogenesis,NO,,,,,Not experimentally validated in the patent application
MYF5,US20160227830A1,Memphis Meats,Myogenesis,NO,,,,,Not experimentally validated in the patent application
MYF6,US20160227830A1,Memphis Meats,Myogenesis,NO,,,,,Not experimentally validated in the patent application
PAX3,US20160227830A1,Memphis Meats,Myogenesis,NO,,,,,Not experimentally validated in the patent application
PAX7,US20160227830A1,Memphis Meats,Myogenesis,NO,,,,,Not experimentally validated in the patent application
GSK3-beta / CTNNB1,US20160227830A1,Memphis Meats,Myogenesis,YES,Porcine iPSC (O2K),See Note,,,"CTNNB1 is usually a phosphorylation target of GSK3-beta. When GSK3-beta is inhibited, CTNNB1 remains active. An alternative to inhibiting GSK3-beta is modying CTNNB1 directly to be constitutively active."
POU5F1,US20160227830A1,Memphis Meats,Pluripotency,YES,Porcine iPSC (O2K),Transfected with construct allowing for Tet-on induction,,,
KLF4,US20160227830A1,Memphis Meats,Pluripotency,YES,Porcine iPSC (O2K),Transfected with construct allowing for Tet-on induction,,,
TERT,WO2017124100A1,Memphis Meats,Immortalization,YES,Primary myoblast,Direct expression with genetic construct,,,
CDKN2A / p16 (INK4A),WO2017124100A1,Memphis Meats,Immortalization,YES,Primary myoblast,"CRISPR Indel mutations knock out CGK2NA gene, which normally inhibits p16",,Chicken,
CDKN2B / p15 (INK4B),WO2017124100A1,Memphis Meats,Immortalization,YES,Primary myoblast,"CRISPR Indel mutations knock out CGK2NB gene, which normally inhibits p15",,Cow,
CDK4,WO2017124100A1,Memphis Meats,Immortalization,YES,Primary myoblast,Direct expression with genetic construct,,,
YAP1,WO2018208628A1,Memphis Meats,HIPPO inhibition,YES,Fibroblasts (primary or cell lines),Plasmid transduction,,Chicken or bovine,
TAZ,WO2018208628A1,Memphis Meats,HIPPO inhibition,YES,Fibroblasts (primary or cell lines),Plasmid transduction,,Chicken or bovine,
MOB1,WO2018208628A1,Memphis Meats,HIPPO inhibition,NO,,,,,
LATS1,WO2018208628A1,Memphis Meats,HIPPO inhibition,NO,,,,,
LATS2,WO2018208628A1,Memphis Meats,HIPPO inhibition,NO,,,,,
WW45,WO2018208628A1,Memphis Meats,HIPPO inhibition,NO,,,,,
MST1,WO2018208628A1,Memphis Meats,HIPPO inhibition,NO,,,,,
MST2,WO2018208628A1,Memphis Meats,HIPPO inhibition,NO,,,,,
WWTR1,WO2018208628A1,Memphis Meats,HIPPO inhibition,NO,,,,,
Glutamine Synthetase,WO2019014652A1,Memphis Meats,Glutamine metabolism,YES,Primary fibroblasts and myoblasts,Plasmid transduction,,Duck,
IGF1,WO2019014652A1,Memphis Meats,Proliferation,YES,Primary fibroblasts and myoblasts,Plasmid transduction,,Duck,
IGF2,WO2019014652A1,Memphis Meats,Proliferation,NO,,,,,
Albumin,WO2019014652A1,Memphis Meats,Proliferation,YES,Primary fibroblasts and myoblasts,Plasmid transduction,,Duck,
TERT,WO2019014652A1,Memphis Meats,Immortalization,NO,,,,,
CDKN2A / p16 / INK4A,WO2019014652A1,Memphis Meats,Inhibition for Immortalization,NO,,,,,
CDKN2B / p15 / INK4B,WO2019014652A1,Memphis Meats,Inhibition for Immortalization,NO,,,,,
MYOD1,WO2019014652A1,Memphis Meats,Myogenesis,NO,,,,,
MYOG,WO2019014652A1,Memphis Meats,Myogenesis,NO,,,,,
MYF5,WO2019014652A1,Memphis Meats,Myogenesis,NO,,,,,
MYF6,WO2019014652A1,Memphis Meats,Myogenesis,NO,,,,,
PAX3,WO2019014652A1,Memphis Meats,Myogenesis,NO,,,,,
PAX7,WO2019014652A1,Memphis Meats,Myogenesis,NO,,,,,
YAP1,WO2019014652A1,Memphis Meats,HIPPO inhibition,NO,,,,,
TAZ,WO2019014652A1,Memphis Meats,HIPPO inhibition,NO,,,,,
Hepatocyte Nuclear Factor 1 Alpha (HNF1 A),WO2018227016A1,Wild Type,Hepatogenesis,NO,,,,,See Table 1 for an organized list of genes and their purpose
Hepatocyte Nuclear Factor 4 Alpha (HNF4A),WO2018227016A1,Wild Type,Hepatogenesis,NO,,,,,
FINF1A,WO2018227016A1,Wild Type,Hepatogenesis,NO,,,,,
FINF4A,WO2018227016A1,Wild Type,Hepatogenesis,NO,,,,,
